CNPJ,Time
59532738000142,Time 1
53210273000127,Time 1
62107005000175,Time 1
55790739000136,Time 1
29226532000123,Time 1
53257987000190,Time 1
53258081000190,Time 1
50491214000186,Time 1
15653649000189,Time 1
61306033000159,Time 1
52258922000105,Time 1
39769235000188,Time 1
24220859000174,Time 1
38314663000153,Time 1
52259591000110,Time 1
53312858000158,Time 1
41391208000166,Time 1
8654210000105,Time 1
18206983000182,Time 1
31024386000103,Time 1
54639537000125,Time 1
18185812000114,Time 1
52298532000150,Time 1
47425662000177,Time 1
29242761000131,Time 1
35654917000194,Time 1
63310209000171,Time 1
43237417000185,Time 1
39270085000163,Time 1
39769038000169,Time 1
35654837000139,Time 1
13805152000103,Time 1
18206970000103,Time 1
45523882000108,Time 1
52259540000198,Time 1
29461840000133,Time 1
29236426000120,Time 1
18911897000170,Time 1
39380171000129,Time 1
41251934000183,Time 1
54028640000139,Time 1
65494608000165,Time 1
48982247000187,Time 1
48997066000124,Time 1
29786962000108,Time 1
62540865000106,Time 1
23954479000109,Time 1
40102227000162,Time 1
49815454000100,Time 1
29242877000170,Time 1
58954368000179,Time 1
41687404000182,Time 1
33823914000101,Time 1
24796631000127,Time 1
49791863000113,Time 1
66644176000194,Time 1
40782833000176,Time 1
29242999000167,Time 1
37121216000115,Time 1
62410525000152,Time 1
49819025000100,Time 1
51187752000144,Time 1
41114564000132,Time 1
29243004000182,Time 1
37828947000103,Time 1
57362995000158,Time 1
55658832000191,Time 1
64679924000149,Time 1
32388135000162,Time 1
23216398000101,Time 1
32510577000130,Time 1
64415486000101,Time 1
60757582000187,Time 1
45024822000140,Time 1
45188001000140,Time 1
42620447000103,Time 1
59499177000127,Time 1
43702714000154,Time 1
53936122000150,Time 1
59475109000128,Time 1
63706874000189,Time 1
32525711000176,Time 1
53190018000160,Time 1
52203566000114,Time 1
58242346000186,Time 1
8756222000140,Time 1
16929413000195,Time 1
57325152000181,Time 1
57519386000160,Time 1
55619752000127,Time 1
57204749000178,Time 1
43237472000175,Time 1
64739772000122,Time 1
50223796000110,Time 1
11965107000190,Time 1
23884799000121,Time 1
21397715000108,Time 1
40669040000145,Time 1
53864681000100,Time 1
42556281000103,Time 1
44076212000128,Time 1
61277602000185,Time 1
53961195000100,Time 1
30282320000142,Time 1
32388193000196,Time 1
49740972000101,Time 1
32140660000164,Time 1
32388176000159,Time 1
32510527000152,Time 1
40634940000157,Time 1
55331248000127,Time 1
32388130000130,Time 1
39615917000136,Time 1
32388184000103,Time 1
42888828000178,Time 1
35871400000157,Time 1
29243017000151,Time 1
10842374000108,Time 1
44197544000160,Time 1
26545451000106,Time 1
66320254000103,Time 1
41251476000182,Time 1
41673349000171,Time 1
46230862000101,Time 1
11261368000120,Time 1
20791371000146,Time 1
54681307000124,Time 1
11122821000117,Time 1
52304780000167,Time 1
24506071000129,Time 1
59197255000139,Time 1
55694842000182,Time 1
32388171000126,Time 1
64787056000110,Time 1
57550093000145,Time 1
63190032000117,Time 1
30127068000105,Time 1
62881088000155,Time 1
36113052000111,Time 1
36334968000100,Time 1
66376024000158,Time 1
61008232000180,Time 1
61007289000165,Time 1
28152777000190,Time 1
43741171000184,Time 1
53313475000102,Time 1
9104359000183,Time 1
8270249000129,Time 1
12400426000111,Time 1
28819664000104,Time 1
54444075000190,Time 1
41096829000117,Time 1
41096982000144,Time 1
24506241000175,Time 1
29284735000176,Time 1
29152636000130,Time 1
13425492000109,Time 1
47167047000108,Time 1
26690698000108,Time 1
32907712000185,Time 1
32517659000106,Time 1
39794865000102,Time 1
60866189000121,Time 1
51306712000174,Time 1
11468186000124,Time 1
19390746000187,Time 1
59258058000182,Time 1
45026584000102,Time 1
40895649000132,Time 1
13807406000122,Time 1
36553528000135,Time 1
45018852000144,Time 1
34027522000107,Time 1
49325599000122,Time 1
11026623000150,Time 1
11507489000109,Time 1
36500339000102,Time 1
59677032000179,Time 1
50626383000186,Time 1
26208267000162,Time 1
12956543000166,Time 1
12093804000161,Time 1
29109383000112,Time 1
14364744000108,Time 1
35725659000190,Time 1
37310847000182,Time 1
12910463000170,Time 1
31770515000102,Time 1
48327323000110,Time 1
32316919000185,Time 1
21053703000158,Time 1
17213074000109,Time 1
24331364000112,Time 1
32525937000177,Time 1
22175369000178,Time 1
27771613000189,Time 1
